 
FileName        : ExpData.txt								
Author          : VJ
Last Updated    : 210119
Competible with :expcvm.05								
Format:-----------------------------------------------------------									
DataId	DataType	       y      yMod   sig(Y)  	Wt.    	x      	x1     	x2     	References

#************************START#
//SOLIDUS(ROG)
25      Hm-A2-T-1              -787.4246173    0     250    0.0     500       0.55    0       BHU
25      Hm-A2-T-1              -859.0086927    0     250    0.0     500       0.60    0       BHU
25      Hm-A2-T-1              -751.6326061    0     250    0.0     500       0.65    0       BHU      
28      Hm-A2-T-1              -708.68217145   0     250    0.0     500       0.67    0       BHU
25      Hm-A2-T-1              -644.2565195    0     250    0.0     500       0.70    0       BHU      
29      Hm-A2-T-1              -536.8804329    0     250    0.0     500       0.75    0       BHU
25      Hm-A2-T-1              -429.5043463    0     250    0.0     500       0.80    0       BHU 
25      Hm-A2-T-1              -322.1282597    0     250    0.0     500       0.85    0       BHU
25      Hm-A2-T-1              -214.7521732    0     250    0.0     500       0.90    0       BHU
25      Hm-A2-T-1              -107.3760866    0     250    0.0     500       0.95    0       BHU 

//Enthalpy of mixing data for HCP phase
30      Hm-A3-TO-1              -11136.42662    0   250    0.0     1100       0.10    0       BHU
30      Hm-A3-TO-1              -18597.83248    0   250    0.0     1000       0.167   0       BHU
30      Hm-A3-TO-1              -17861.06353    0   250    0.0     1000      0.20    0       BHU
30      Hm-A3-TO-1              -16738.05588    0   250    0.0     1000      0.25    0       BHU 
30      Hm-A3-TO-1              -15628.43056    0   250    0.0     1000      0.30    0       BHU  
31      Hm-A3-TO-1              -14937.77800    0   250    0.0     1000      0.33    0       BHU
30      Hm-A3-TO-1              -13395.79769    0   250    0.0     1000       0.40    0       BHU 
30      Hm-A3-TO-1              -12279.48121    0   250    0.0     1000       0.45    0       BHU        
32      Hm-A3-TO-1              -11158.703924   0   250    0.0     1000       0.5     0       BHU
30      Hm-A3-TO-1              -10046.84825    0   250    0.0     1000       0.55    0       BHU
30      Hm-A3-TO-1              -8930.531764    0   250    0.0     1000       0.60    0       BHU       
33      Hm-A3-TO-1              -7364.722555    0   250    0.0     1000       0.67    0       BHU
30      Hm-A3-TO-1              -6697.898799    0   250    0.0     1000       0.70    0       BHU         
34      Hm-A3-TO-1              -5579.351962    0   250    0.0     1000       0.75    0       BHU
30      Hm-A3-TO-1              -4465.265834    0   250    0.0     1000       0.80    0       BHU
30      Hm-A3-TO-1              -3348.949351    0   250    0.0     1000       0.85    0       BHU
30      Hm-A3-TO-1              -2232.632868    0   250    0.0     1000       0.90    0       BHU
30      Hm-A3-TO-1              -1116.316386    0   250    0.0     1000       0.95    0       BHU   










      


68	CXXB-A2-T-1-A3-TO-1	0.9965	0.9965	0.0005	1	1073	0.815	0.999	90PER
69	CXXB-A2-T-1-A3-TO-1	0.9955	0.9955	0.0005	1	1044	0.815	0.999	90PER
